run_id,lambda_acf,lambda_freq,lambda_motif,lambda_cp,lambda_per,mse,acf_dev,spec_dev
acf0p2_freq0p08_mot0p05_cp0p02_per0p01,0.2,0.08,0.05,0.02,0.01,0.129067,0.011495,5.372646
acf0p2_freq0p08_mot0p05_cp0p02_per0p02,0.2,0.08,0.05,0.02,0.02,0.10964,0.008912,5.606191
acf0p2_freq0p08_mot0p1_cp0p01_per0p01,0.2,0.08,0.1,0.01,0.01,0.154049,0.011349,6.237249
acf0p2_freq0p08_mot0p1_cp0p01_per0p02,0.2,0.08,0.1,0.01,0.02,0.133129,0.008894,5.172706
acf0p2_freq0p08_mot0p1_cp0p02_per0p01,0.2,0.08,0.1,0.02,0.01,0.37495,0.021041,4.34167
acf0p2_freq0p08_mot0p1_cp0p02_per0p02,0.2,0.08,0.1,0.02,0.02,0.173212,0.01378,5.610411
acf0p2_freq0p12_mot0p02_cp0p01_per0p01,0.2,0.12,0.02,0.01,0.01,0.159641,0.010109,5.651821
acf0p2_freq0p12_mot0p02_cp0p01_per0p02,0.2,0.12,0.02,0.01,0.02,0.177956,0.032312,6.11939
acf0p2_freq0p12_mot0p02_cp0p02_per0p01,0.2,0.12,0.02,0.02,0.01,0.12869,0.00731,5.4216
acf0p2_freq0p12_mot0p02_cp0p02_per0p02,0.2,0.12,0.02,0.02,0.02,0.118973,0.009912,4.915052
acf0p2_freq0p12_mot0p05_cp0p01_per0p01,0.2,0.12,0.05,0.01,0.01,0.177071,0.016952,5.45514
acf0p2_freq0p12_mot0p05_cp0p01_per0p02,0.2,0.12,0.05,0.01,0.02,0.145782,0.009371,4.835723
acf0p2_freq0p12_mot0p05_cp0p02_per0p01,0.2,0.12,0.05,0.02,0.01,0.1589,0.00964,5.240823
acf0p2_freq0p12_mot0p05_cp0p02_per0p02,0.2,0.12,0.05,0.02,0.02,0.144733,0.022574,5.103036
acf0p2_freq0p12_mot0p1_cp0p01_per0p01,0.2,0.12,0.1,0.01,0.01,0.176316,0.010772,4.870512
acf0p2_freq0p12_mot0p1_cp0p01_per0p02,0.2,0.12,0.1,0.01,0.02,0.196634,0.012011,6.050946
acf0p2_freq0p12_mot0p1_cp0p02_per0p01,0.2,0.12,0.1,0.02,0.01,0.14664,0.011487,5.217587
acf0p2_freq0p12_mot0p1_cp0p02_per0p02,0.2,0.12,0.1,0.02,0.02,0.155613,0.011466,5.159858
acf0p2_freq0p2_mot0p02_cp0p01_per0p01,0.2,0.2,0.02,0.01,0.01,0.181053,0.014417,5.195091
acf0p2_freq0p2_mot0p02_cp0p01_per0p02,0.2,0.2,0.02,0.01,0.02,0.253844,0.022958,5.742985
acf0p2_freq0p2_mot0p02_cp0p02_per0p01,0.2,0.2,0.02,0.02,0.01,0.248162,0.039429,5.953683
acf0p2_freq0p2_mot0p02_cp0p02_per0p02,0.2,0.2,0.02,0.02,0.02,0.205724,0.027653,5.020532
acf0p2_freq0p2_mot0p05_cp0p01_per0p01,0.2,0.2,0.05,0.01,0.01,0.247439,0.020443,4.766914
acf0p2_freq0p2_mot0p05_cp0p01_per0p02,0.2,0.2,0.05,0.01,0.02,0.16498,0.01082,4.563182
acf0p2_freq0p2_mot0p05_cp0p02_per0p01,0.2,0.2,0.05,0.02,0.01,0.348126,0.018468,5.659175
acf0p2_freq0p2_mot0p05_cp0p02_per0p02,0.2,0.2,0.05,0.02,0.02,0.174,0.023459,5.00331
